date,Open,High,Low,Final,Volume,Close
2011-04-18,9666,9666,9659,10018,1000,9659
2011-04-20,9620,9669,9620,10000,2290,9669
2011-04-23,9605,9605,9604,9960,4476,9604
2011-04-24,9601,10000,9600,9946,3055,9620
2011-04-25,9622,9910,9620,9931,2404,9910
2011-04-27,9800,9800,9800,9896,12000,9800
2011-04-30,9601,9601,9501,9502,728940,9501
2011-05-01,9122,9250,9122,9132,128450,9200
2011-05-02,9150,9200,9150,9137,3769,9200
2011-05-03,9321,9321,9250,9186,12587,9250
2011-05-04,9250,9250,9250,9187,588,9250
2011-05-09,9500,9500,9500,9215,3937,9500
2011-05-10,9490,9500,9490,9401,29186,9500
2011-05-11,9500,9600,9473,9453,12629,9560
2011-05-15,9550,9560,9350,9401,28670,9350
2011-05-16,9400,9500,9400,9406,2778,9500
2011-05-17,9500,9500,9470,9430,12001,9470
2011-05-18,9400,9500,9400,9417,31007,9411
2011-05-21,9400,9402,9400,9413,12082,9402
2011-05-22,9355,9376,9355,9410,3185,9375
2011-05-23,9301,9301,9301,9410,160,9301
2011-05-25,9301,9301,9300,9390,8000,9300
2011-05-28,9350,9350,9300,9379,11000,9300
2011-05-29,9100,9100,9040,9346,5267,9100
2011-05-30,9090,9500,9090,9393,22997,9500
2011-06-07,9400,9499,9400,9409,7960,9499
2011-06-08,9499,9499,9412,9418,4791,9412
2011-06-11,9263,9499,9260,9398,17470,9450
2011-06-12,9499,9500,9460,9431,16522,9499
2011-06-13,9480,9498,9480,9433,1570,9498
2011-06-15,9500,9500,9490,9455,15808,9490
2011-06-18,9495,9495,9494,9458,3012,9495
2011-06-19,9500,9500,9470,9461,4332,9470
2011-06-21,9470,9470,9470,9462,3584,9470
2011-06-22,9480,9480,9480,9462,1000,9480
2011-06-25,9400,9500,9400,9462,1654,9500
2011-06-26,9499,9500,9474,9477,19829,9499
2011-06-27,9575,9575,9574,9515,17438,9574
2011-06-28,9135,9135,9135,9497,2139,9135
2011-07-02,9400,9400,9400,9490,3239,9400
2011-07-05,9500,9500,9500,9490,2000,9500
2011-07-06,9130,9130,9120,9130,903403,9121
2011-07-09,9001,9495,9001,9194,11500,9495
2011-07-10,9300,9300,9300,9195,297,9300
2011-07-11,9300,9314,9001,9189,11362,9001
2011-08-07,8486,8488,8486,8717,15491,8486
2011-08-08,8719,8719,8719,8717,3509,8719
2011-08-13,8800,8800,8800,8721,2000,8800
2011-08-15,9000,9000,9000,8731,1618,9000
2011-08-16,8751,8751,8382,8688,21000,8382
2011-08-21,8342,8500,8342,8657,6155,8500
2011-08-23,8500,8500,8500,8622,10103,8500
2011-08-24,8500,8500,8500,8592,11075,8500
2011-08-27,8430,8430,8315,8454,26009,8333
2011-08-28,8311,8333,8311,8442,3990,8333
2011-08-29,8320,8320,8251,8409,7702,8254
2011-08-30,8300,8330,8300,8384,11104,8330
2011-09-03,8379,8379,8379,8384,1000,8379
2011-09-04,8378,8400,8378,8384,4750,8400
2011-09-05,8500,8719,8500,8447,9810,8719
2011-09-06,8750,8779,8750,8584,20200,8779
2011-09-10,8927,8927,8927,8591,850,8927
2011-09-11,8934,8934,8934,8600,1167,8934
2011-09-14,8944,8944,8944,8777,23023,8944
2011-09-17,9128,9128,9128,8953,22437,9128
2011-09-18,9311,9311,9311,9148,24421,9311
2011-09-19,9513,9513,9513,9365,26691,9513
2011-09-20,9738,9738,9500,9461,25282,9600
2011-09-27,9500,9600,9500,9462,643,9600
2011-09-28,9311,9350,9310,9441,6305,9310
2011-10-01,9310,9310,9310,9441,5,9310
2011-10-05,9321,9321,9320,9435,2212,9320
2011-10-09,9200,9200,9200,9367,13000,9200
2011-10-11,9000,9000,9000,9354,1573,9000
2011-10-15,9000,9000,9000,9348,700,9000
2011-10-16,9000,9050,8975,9331,2183,8975
2011-10-17,8958,8958,8958,9314,2000,8958
2011-10-24,8942,8942,8942,9298,1987,8942
2011-10-25,8927,8927,8927,9297,110,8927
2011-11-14,8926,8926,8926,9289,1000,8926
2011-11-20,8918,8918,8918,9107,22030,8918
2011-11-21,8743,8743,8743,8928,22000,8743
2011-11-22,8571,8571,8571,8769,20000,8571
2011-11-23,8419,8419,8419,8766,328,8419
2011-11-26,8416,8416,8416,8649,15000,8416
2011-11-30,8304,8304,8304,8648,100,8304
2011-12-07,8790,9141,8790,8990,57778,9141
2011-12-10,9349,9349,9349,9150,20020,9349
2011-12-11,9516,9516,9516,9516,46106,9516
2011-12-12,9896,9896,9670,9787,120288,9710
2011-12-21,9465,9465,9396,9775,1330,9396
2011-12-24,9384,9384,9384,9771,480,9384
2011-12-26,9381,9381,9381,9727,5060,9381
2011-12-27,9338,9338,9338,9710,2000,9338
2011-12-28,9322,9322,9322,9668,4800,9322
2011-12-31,9282,9282,9282,9282,52100,9282
2011-01-01,8911,8911,8911,9248,4100,8911
